subzone,0-14,15-29,30-59,60+
ang mo kio town centre,870,860,2370,960
cheng san,3770,4820,14250,6940
chong boon,3190,4690,12720,7330
kebun bahru,2870,4110,10860,6100
sembawang hills,1020,1540,2790,1550
shangri-la,2380,3320,8360,4440
tagore,1150,1970,3560,1650
townsville,3170,3720,10820,6050
yio chu kang east,580,920,1800,830
yio chu kang west,3770,4880,12340,5600
bayshore,1400,1060,3920,1100
bedok north,11140,16210,39100,19480
bedok reservoir,4210,4910,12010,4280
bedok south,6830,9920,22320,12140
frankel,5470,5860,15300,6980
kaki bukit,5250,9420,18250,7910
kembangan,4770,7620,17070,8970
siglap,810,1290,2940,1910
bishan east,3700,5980,13000,6130
marymount,4820,6930,14640,5200
upper thomson,3960,5960,13200,7230
bukit batok central,3830,5400,12120,4700
bukit batok east,1870,3030,6970,2720
bukit batok south,2050,3450,6620,1850
bukit batok west,2230,3110,7170,2740
gombak,1680,1730,4650,1780
guilin,1960,2670,6480,2040
hillview,2730,4170,8510,2820
hong kah north,4020,6230,13490,4600
alexandra hill,2010,2830,6620,4190
alexandra north,190,160,560,90
bukit ho swee,1960,2490,7300,4560
bukit merah,170,210,510,320
depot road,870,750,2560,1010
everton park,1190,1310,4150,2400
henderson hill,1690,2170,5490,3540
kampong tiong bahru,1200,1630,4610,3060
maritime square,480,310,1490,300
redhill,2060,1820,5820,2540
telok blangah drive,2080,2430,7300,4190
telok blangah rise,1530,2250,6020,4020
telok blangah way,1400,1470,4960,2910
tiong bahru,1720,1640,5820,3040
tiong bahru station,2790,2480,7900,3510
bangkit,3060,5560,10800,4410
dairy farm,900,1190,2500,810
fajar,4970,5910,12320,3600
jelebu,4780,7810,15530,5370
nature reserve,670,780,1850,590
saujana,4660,5840,12080,2970
senja,4370,3720,9690,2460
anak bukit,3230,4840,9430,4510
coronation road,1180,1050,2650,1290
farrer court,810,700,2180,1010
hillcrest,1650,1500,3990,1690
holland road,2040,1850,4670,1750
leedon park,990,1090,2880,1310
swiss club,950,1060,2440,1110
ulu pandan,1750,2020,4610,2360
changi point,90,130,370,220
changi west,540,270,810,110
choa chu kang central,3300,5260,10160,2730
choa chu kang north,5520,9200,15940,3740
keat hong,2300,4050,7360,1970
peng siang,5040,7710,15080,4340
teck whye,3670,6540,12120,4720
yew tee,8090,9250,21660,4680
clementi central,1920,2150,6250,3160
clementi north,3390,4510,13040,7820
clementi west,2300,2760,7820,3620
clementi woods,2430,2870,7500,3640
faber,770,890,1910,790
sunset way,780,1250,2720,1560
west coast,1220,950,2800,910
bugis,170,330,1040,790
central subzone,60,60,330,40
tanjong pagar,20,60,350,70
aljunied,5320,7390,19690,9300
geylang east,4620,6100,15250,7440
kampong ubi,1770,3110,6090,2250
macpherson,3530,5390,12920,6830
hougang central,620,1150,2170,900
hougang east,2870,5310,10180,3590
hougang west,5820,11550,23250,9510
kangkar,3630,5230,12160,5090
kovan,3580,5670,11460,4940
lorong ah soo,4360,6560,15570,7720
tai seng,2130,3110,6380,3120
trafalgar,7110,9300,21300,7110
lakeside,90,190,470,280
teban gardens,2770,3560,8560,4220
toh guan,2430,3740,7810,2560
yuhua east,3540,5410,12670,5860
yuhua west,2870,4430,9460,4150
boon lay place,5490,6250,14590,4790
hong kah,7980,11670,26370,10860
jurong west central,13480,12710,34290,7760
taman jurong,6220,7840,17540,5370
wenya,2050,1270,4480,870
yunnan,10980,17310,33250,9390
bendemeer,4520,5490,15890,7930
boon keng,1390,1800,5170,2640
crawford,960,1310,4150,3330
geylang bahru,1550,2130,5990,3220
kampong bugis,90,200,410,210
kampong java,1520,1780,5240,2750
lavender,1370,1630,4900,2430
tanjong rhu,1900,1680,5830,1900
mandai estate,360,460,980,310
katong,1490,1640,4560,1950
marine parade,4430,4420,12910,7140
mountbatten,1650,1840,4720,2000
fort canning,30,10,120,10
cairnhill,540,490,1660,650
goodwood park,190,130,460,150
monk's hill,160,160,480,200
newton circus,60,20,120,20
orange grove,180,210,720,360
balestier,4500,5250,15240,7340
dunearn,650,720,1650,880
malcolm,480,450,1140,560
moulmein,1830,1190,4220,1240
mount pleasant,90,170,280,160
boulevard,50,40,200,100
tanglin,80,50,220,60
china square,100,200,720,560
chinatown,2090,1290,5900,2590
pearl's hill,870,1160,3450,2740
flora drive,2110,2740,6140,1970
loyang east,280,510,980,430
pasir ris central,4100,6420,12110,3150
pasir ris drive,8730,15740,26840,8200
pasir ris park,590,580,1580,240
pasir ris west,6060,8900,17310,4080
matilda,7740,4180,15810,2740
punggol field,10010,6430,21860,4990
punggol town centre,2070,860,3970,510
waterway east,7560,3630,14710,2490
commonwealth,930,1260,3690,2270
dover,2230,2350,6030,2620
ghim moh,1610,1940,5050,3310
holland drive,1540,2040,6430,4250
kent ridge,130,210,530,200
margaret drive,1740,1580,5070,2170
mei chin,2200,3080,7520,3960
national university of s'pore,30,230,100,0
one north,100,90,370,40
pasir panjang 1,610,750,1980,700
pasir panjang 2,500,740,1570,730
singapore polytechnic,50,40,70,0
tanglin halt,1630,1870,6120,3540
institution hill,640,500,1810,500
leonie hill,400,380,1320,370
one tree hill,230,310,880,400
oxley,190,210,640,370
bencoolen,160,220,720,390
farrer park,430,450,1520,750
little india,400,620,1750,1080
mount emily,170,120,700,160
selegie,30,50,140,70
sungei road,320,410,1010,700
victoria,150,290,970,670
seletar,50,30,160,20
admiralty,3120,2500,7090,1700
sembawang central,5350,5950,14500,3340
sembawang north,5740,4750,13550,2830
sembawang springs,720,850,1910,830
sembawang straits,300,370,800,260
anchorvale,8730,6410,18900,4000
compassvale,4600,2320,9810,1810
fernvale,8710,5360,17780,3760
rivervale,10840,12260,28780,7950
sengkang town centre,10280,10680,27150,6600
lorong chuan,1270,1880,3690,1570
seletar hills,1900,3070,5660,2990
serangoon central,3090,5500,12000,5940
serangoon garden,4670,7970,16900,9670
serangoon north,2590,4130,8110,2670
upper paya lebar,1880,3410,6790,3480
boat quay,20,0,110,30
robertson quay,470,250,1460,260
sentosa,260,240,820,150
turf club,90,140,290,180
simei,6350,9200,20310,6870
tampines east,19140,32260,63300,23790
tampines west,11540,18060,35750,12800
xilin,250,480,930,270
chatsworth,930,780,3080,950
nassim,1620,1240,3950,1540
ridout,220,220,640,310
tyersall,570,610,1630,700
boon teck,1910,2660,6400,4160
braddell,1400,1980,4750,2640
joo seng,890,1200,3020,1660
kim keat,990,1690,3890,2070
lorong 8 toa payoh,910,1500,3600,2240
pei chun,1590,1870,5450,2880
potong pasir,1500,2160,5850,3180
sennett,540,900,1850,1260
toa payoh central,4880,4980,14660,6240
toa payoh west,1400,2070,6070,3830
woodleigh,440,460,1210,350
western water catchment,150,250,420,100
midview,5950,9380,16310,3870
north coast,1850,3310,6640,2840
woodgrove,5500,9500,16800,4050
woodlands east,18180,21490,46680,9180
woodlands south,7410,7570,16960,3890
woodlands west,4510,7750,14920,5730
khatib,1270,2470,5170,1970
lower seletar,700,620,1380,170
nee soon,150,160,410,200
northland,4190,6830,14590,4760
springleaf,540,910,1570,870
yishun central,180,370,680,290
yishun east,10650,11730,26220,6280
yishun south,5170,8750,18090,6830
yishun west,7790,12000,27760,10340
northshore,30,60,110,60
mackenzie,10,10,70,0
queensway,0,60,170,50
people's park,10,60,190,110
port,0,40,70,30
paterson,10,10,110,0
cecil,10,10,120,0
somerset,0,20,50,30
kampong glam,0,20,80,60
dhoby ghaut,10,20,130,10
clarke quay,0,0,110,10
gali batu,0,0,10,120
loyang west,0,0,0,180
